what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1350164354625
started,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1350164354634
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1350164354654
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.bugzilla.core",1350164354669
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.bugzilla.ui",1350164354686
started,bundle,org.eclipse.mylyn.commons.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.core",1350164354686
started,bundle,org.eclipse.mylyn.commons.net,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.net",1350164354686
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.core",1350164354697
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.feed",1350164354709
started,bundle,org.eclipse.mylyn.commons.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.ui",1350164354722
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.workbench",1350164354733
started,bundle,org.eclipse.mylyn.context.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.core",1350164354733
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.tasks.ui",1350164354746
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.monitor.ui",1350164354754
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1350164354769
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1350164354818
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1350164354818
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1350164354833
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1350164354833
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1350164354833
os,sysinfo,,,"win32",1350164354838
arch,sysinfo,,,"x86_64",1350164354838
ws,sysinfo,,,"win32",1350164354838
locale,sysinfo,,,"es_AR",1350164354838
processors,sysinfo,,,"4",1350164354838
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350164354838
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1350164354838
java.specification.name,sysinfo,,,"Java Platform API Specification",1350164354838
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350164354838
java.specification.version,sysinfo,,,"1.6",1350164354838
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1350164354838
java.version,sysinfo,,,"1.6.0_31",1350164354838
java.vm.info,sysinfo,,,"mixed mode",1350164354838
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1350164354838
